field,year,location,state,lat,long,residue,inc,sev,species,genotype
31,2010,Caseiros,RS,-28.26644,-51.66858,soybean,24.5,2.11,Fgra,15-ADON
31,2010,Caseiros,RS,-28.26644,-51.66858,soybean,24.5,2.11,Fgra,15-ADON
31,2010,Caseiros,RS,-28.17275,-52.31744,soybean,24.5,2.11,Fgra,15-ADON
32,2010,Caseiros,RS,-28.32164,-51.23739,corn,20,1.67,Faus,3-ADON
32,2010,Caseiros,RS,-28.17275,-52.31744,corn,20,1.67,Fgra,15-ADON
32,2010,Caseiros,RS,-28.17275,-52.31744,corn,20,1.67,Fgra,15-ADON
32,2010,Caseiros,RS,-28.14261,-51.69828,corn,20,1.67,Fmer,NIV
32,2010,Caseiros,RS,-28.14261,-51.69828,corn,20,1.67,Fmer,NIV
18,2011,Colorado,RS,-28.42317,-53.91117,soybean,17,0.61,Fgra,15-ADON
12,2009,Condor,RS,-27.764,-53.32,corn,44,2.24,Fgra,15-ADON
12,2009,Condor,RS,-27.764,-53.32,corn,44,2.24,Fgra,15-ADON
13,2009,Condor,RS,-27.642,-53.327,soybean,70.5,12.81,Fgra,15-ADON
13,2009,Condor,RS,-27.642,-53.327,soybean,70.5,12.81,Fgra,15-ADON
13,2009,Condor,RS,-27.642,-53.327,soybean,70.5,12.81,Fgra,15-ADON
13,2009,Condor,RS,-27.642,-53.327,soybean,70.5,12.81,Fgra,15-ADON
13,2011,Condor,RS,-28.52192,-53.79314,soybean,15,0.35,Fgra,15-ADON
14,2009,Condor,RS,-27.722,-53.239,soybean,55,6.24,Fgra,15-ADON
14,2009,Condor,RS,-27.722,-53.239,soybean,55,6.24,Fgra,15-ADON
NA,2009,Corbelia,PR,-24.29277778,-53.3125,NA,NA,NA,Fmer,NIV
NA,2009,Corbelia,PR,-24.29277778,-53.3125,NA,NA,NA,Fmer,NIV
NA,2009,Cornelio Procopio,PR,-23.18111111,-50.64666667,NA,NA,NA,Fgra,15-ADON
NA,2009,Cornelio Procopio,PR,-23.18111111,-50.64666667,NA,NA,NA,Fgra,15-ADON
NA,2009,Cornelio Procopio,PR,-23.18111111,-50.64666667,NA,NA,NA,Fgra,15-ADON
NA,2009,Cornelio Procopio,PR,-23.18111111,-50.64666667,NA,NA,NA,Fgra,15-ADON
NA,2009,Cornelio Procopio,PR,-23.18111111,-50.64666667,NA,NA,NA,Fgra,15-ADON
44,2009,Coronel Barros,RS,-28.218,-51.579,corn,8,0.37,Fgra,15-ADON
44,2009,Coronel Barros,RS,-28.218,-51.579,corn,8,0.37,Fgra,15-ADON
44,2009,Coronel Barros,RS,-28.218,-51.579,corn,8,0.37,Fgra,15-ADON
45,2009,Coronel Barros,RS,-28.218,-51.509,soybean,29.5,3.66,Fgra,15-ADON
45,2009,Coronel Barros,RS,-28.218,-51.509,soybean,29.5,3.66,Fgra,15-ADON
45,2009,Coronel Barros,RS,-28.218,-51.509,soybean,29.5,3.66,Fgra,15-ADON
46,2009,Coronel Barros,RS,-28.276,-51.467,soybean,10,0.38,Fgra,15-ADON
10,2010,Coxilha,RS,-28.17275,-52.31744,soybean,63.5,13.31,Fgra,15-ADON
10,2010,Coxilha,RS,-28.17275,-52.31744,soybean,63.5,13.31,Fgra,15-ADON
10,2010,Coxilha,RS,-28.10436,-52.27589,soybean,63.5,13.31,Fgra,15-ADON
10,2010,Coxilha,RS,-28.10436,-52.27589,soybean,63.5,13.31,Fgra,15-ADON
10,2010,Coxilha,RS,-28.10436,-52.27589,soybean,63.5,13.31,Fgra,15-ADON
11,2010,Coxilha,RS,-28.10436,-52.27589,soybean,44.5,4.99,Fgra,15-ADON
11,2010,Coxilha,RS,-28.10436,-52.27589,soybean,44.5,4.99,Fgra,15-ADON
11,2010,Coxilha,RS,-28.13178,-52.26639,soybean,44.5,4.99,Fgra,15-ADON
11,2010,Coxilha,RS,-28.13178,-52.26639,soybean,44.5,4.99,Fgra,15-ADON
11,2010,Coxilha,RS,-28.13178,-52.26639,soybean,44.5,4.99,Fgra,15-ADON
18,2010,Coxilha,RS,-28.13178,-52.26639,soybean,65.5,3.95,Fgra,15-ADON
18,2010,Coxilha,RS,-28.13178,-52.26639,soybean,65.5,3.95,Fgra,15-ADON
18,2010,Coxilha,RS,-28.13794,-52.21681,soybean,65.5,3.95,Fgra,15-ADON
18,2010,Coxilha,RS,-28.13794,-52.21681,soybean,65.5,3.95,Fgra,15-ADON
18,2010,Coxilha,RS,-28.13794,-52.21681,soybean,65.5,3.95,Fgra,15-ADON
19,2010,Coxilha,RS,-27.78344,-52.26544,soybean,65,6.22,Fgra,15-ADON
19,2010,Coxilha,RS,-27.78344,-52.26544,soybean,65,6.22,Fgra,15-ADON
19,2010,Coxilha,RS,-27.78344,-52.26544,soybean,65,6.22,Fgra,15-ADON
37,2009,Coxilha,RS,-28.267,-52.206,NA,0,0,Fgra,15-ADON
37,2009,Coxilha,RS,-28.267,-52.206,NA,0,0,Fgra,15-ADON
37,2009,Coxilha,RS,-28.267,-52.206,NA,0,0,Fgra,15-ADON
38,2009,Coxilha,RS,-28.306,-52.135,corn,5,0.31,Fgra,15-ADON
38,2009,Coxilha,RS,-28.306,-52.135,corn,5,0.31,Fgra,15-ADON
38,2009,Coxilha,RS,-28.306,-52.135,corn,5,0.31,Fgra,15-ADON
39,2009,Coxilha,RS,-28.446,-53.531,soybean,6,0.33,Fgra,15-ADON
39,2009,Coxilha,RS,-28.446,-53.531,soybean,6,0.33,Fgra,15-ADON
39,2009,Coxilha,RS,-28.446,-53.531,soybean,6,0.33,Fgra,15-ADON
39,2009,Coxilha,RS,-28.825,-53.613,soybean,6,0.33,Fmer,NIV
7,2009,Cruz Alta,RS,-28.171,-53.472,soybean,31.5,2.53,Fgra,15-ADON
7,2009,Cruz Alta,RS,-28.119,-53.433,soybean,31.5,2.53,Fgra,15-ADON
7,2009,Cruz Alta,RS,-28.119,-53.433,soybean,31.5,2.53,Fgra,15-ADON
8,2009,Cruz Alta,RS,-28.119,-53.433,soybean,50.5,4.83,Fgra,15-ADON
9,2009,Cruz Alta,RS,-28.119,-53.433,soybean,56,3.22,Fgra,15-ADON
9,2009,Cruz Alta,RS,-28.027,-53.357,soybean,56,3.22,Fgra,15-ADON
9,2009,Cruz Alta,RS,-28.027,-53.357,soybean,56,3.22,Fgra,15-ADON
9,2009,Cruz Alta,RS,-28.027,-53.357,soybean,56,3.22,Fgra,15-ADON
10,2009,Cruz Alta,RS,-28.344,-51.147,soybean,43,3.2,Fgra,15-ADON
10,2009,Cruz Alta,RS,-28.344,-51.147,soybean,43,3.2,Fgra,15-ADON
10,2009,Cruz Alta,RS,-28.344,-51.147,soybean,43,3.2,Fgra,15-ADON
49,2009,Entre-Ijuis,RS,-28.344,-51.147,corn,26.5,1.46,Fgra,15-ADON
49,2009,Entre-Ijuis,RS,-28.358,-54.21,corn,26.5,1.46,Fgra,15-ADON
49,2009,Entre-Ijuis,RS,-28.358,-54.21,corn,26.5,1.46,Fgra,15-ADON
49,2009,Entre-Ijuis,RS,-28.39,-53.982,corn,26.5,1.46,Fgra,15-ADON
16,2010,Erechim,RS,-27.78344,-52.26544,soybean,39,4.23,Fgra,15-ADON
16,2010,Erechim,RS,-27.70072,-52.28536,soybean,39,4.23,Fgra,15-ADON
16,2010,Erechim,RS,-27.70072,-52.28536,soybean,39,4.23,Fgra,15-ADON
16,2010,Erechim,RS,-27.70072,-52.28536,soybean,39,4.23,Fgra,15-ADON
17,2010,Erechim,RS,-28.14261,-51.69828,soybean,26,1.1,Fcor,NIV
17,2010,Erechim,RS,-27.70072,-52.28536,soybean,26,1.1,Fgra,15-ADON
17,2010,Erechim,RS,-27.91617,-52.23206,soybean,26,1.1,Fgra,15-ADON
17,2010,Erechim,RS,-27.91617,-52.23206,soybean,26,1.1,Fgra,15-ADON
17,2010,Erechim,RS,-27.91617,-52.23206,soybean,26,1.1,Fgra,15-ADON
34,2009,Ernestina,RS,-28.381,-53.306,soybean,27.22,2.65,Fmer,NIV
35,2009,Ernestina,RS,-28.39,-53.982,soybean,19.74,2.64,Fgra,15-ADON
35,2009,Ernestina,RS,-28.39,-53.982,soybean,19.74,2.64,Fgra,15-ADON
36,2009,Ernestina,RS,-28.39,-53.982,soybean,23.5,6.34,Fgra,15-ADON
36,2009,Ernestina,RS,-28.293,-51.409,soybean,23.5,6.34,Fgra,15-ADON
36,2009,Ernestina,RS,-28.293,-51.409,soybean,23.5,6.34,Fgra,15-ADON
36,2009,Ernestina,RS,-28.327,-51.271,soybean,23.5,6.34,Fgra,15-ADON
15,2010,Estacao,RS,-27.91617,-52.23206,soybean,42,1.63,Fgra,15-ADON
15,2010,Estacao,RS,-27.91617,-52.23206,soybean,42,1.63,Fgra,15-ADON
15,2010,Estacao,RS,-28.14261,-51.69828,soybean,42,1.63,Fgra,15-ADON
15,2010,Estacao,RS,-28.14261,-51.69828,soybean,42,1.63,Fgra,15-ADON
15,2010,Estacao,RS,-28.17861,-51.64911,soybean,42,1.63,Fmer,15-ADON
NA,2009,Farol,PR,-24.09972222,-52.62333333,NA,NA,NA,Fgra,15-ADON
NA,2009,Farol,PR,-24.09972222,-52.62333333,NA,NA,NA,Fmer,NIV
NA,2009,Formosa do Oeste,PR,-24.29277778,-53.3125,NA,NA,NA,Fgra,15-ADON
NA,2009,Formosa do Oeste,PR,-24.29277778,-53.3125,NA,NA,NA,Fgra,15-ADON
NA,2009,Formosa do Oeste,PR,-24.29277778,-53.3125,NA,NA,NA,Fgra,15-ADON
NA,2009,Formosa do Oeste,PR,-24.29277778,-53.3125,NA,NA,NA,Fmer,NIV
34,2010,Ibiaca,RS,-28.31231,-51.36056,corn,6,0.47,Fcor,NIV
34,2010,Ibiaca,RS,-28.17861,-51.64911,corn,6,0.47,Fgra,15-ADON
34,2010,Ibiaca,RS,-28.17861,-51.64911,corn,6,0.47,Fgra,15-ADON
34,2010,Ibiaca,RS,-28.31231,-51.36056,corn,6,0.47,Fmer,NIV
34,2010,Ibiaca,RS,-28.27044,-51.92267,corn,6,0.47,Fmer,NIV
1,2011,Ijui,RS,-28.36456,-53.79106,soybean,37,1.16,Fgra,15-ADON
1,2011,Ijui,RS,-28.37986,-52.78922,soybean,37,1.16,Fmer,NIV
1,2011,Ijui,RS,-28.068,-53.3935,soybean,37,1.16,Fmer,NIV
2,2011,Ijui,RS,-28.46053,-53.86439,soybean,2.5,0.07,Fgra,15-ADON
2,2011,Ijui,RS,-28.38306,-54.03853,soybean,2.5,0.07,Fgra,15-ADON
2,2011,Ijui,RS,-28.38306,-54.03853,soybean,2.5,0.07,Fgra,15-ADON
2,2011,Ijui,RS,-28.07047,-51.91642,soybean,2.5,0.07,Fgra,15-ADON
4,2011,Ijui,RS,-28.42317,-53.91117,soybean,7,0.16,Fgra,15-ADON
4,2011,Ijui,RS,-28.42317,-53.91117,soybean,7,0.16,Fgra,15-ADON
4,2011,Ijui,RS,-28.42317,-53.91117,soybean,7,0.16,Fgra,15-ADON
4,2011,Ijui,RS,-28.37331,-53.83989,soybean,7,0.16,Fgra,15-ADON
5,2011,Ijui,RS,-28.46053,-53.86439,soybean,14,0.35,Fgra,15-ADON
5,2011,Ijui,RS,-28.46053,-53.86439,soybean,14,0.35,Fgra,15-ADON
5,2011,Ijui,RS,-28.07047,-51.91642,soybean,14,0.35,Fgra,15-ADON
6,2011,Ijui,RS,-28.37331,-53.83989,soybean,8,0.35,Fgra,15-ADON
6,2011,Ijui,RS,-28.07047,-51.91642,soybean,8,0.35,Fgra,15-ADON
7,2011,Ijui,RS,-28.37331,-53.83989,soybean,2,0.03,Fgra,15-ADON
7,2011,Ijui,RS,-28.38306,-54.03853,soybean,2,0.03,Fgra,15-ADON
