"","field","year","location","state","lat","long","residue","inc","sev","species","genotype","field2"
"210",49,2009,"Entre-Ijuis","RS",-28.39,-53.982,"corn",26.5,1.46,"Fusarium graminearum","15-ADON",4900
"211",16,2010,"Erechim","RS",-27.78344,-52.26544,"soybean",39,4.23,"Fusarium graminearum","15-ADON",1600
"212",16,2010,"Erechim","RS",-27.70072,-52.28536,"soybean",39,4.23,"Fusarium graminearum","15-ADON",1600
"213",16,2010,"Erechim","RS",-27.70072,-52.28536,"soybean",39,4.23,"Fusarium graminearum","15-ADON",1600
"214",16,2010,"Erechim","RS",-27.70072,-52.28536,"soybean",39,4.23,"Fusarium graminearum","15-ADON",1600
"215",17,2010,"Erechim","RS",-28.14261,-51.69828,"soybean",26,1.1,"Fcor","NIV",1700
"216",17,2010,"Erechim","RS",-27.70072,-52.28536,"soybean",26,1.1,"Fusarium graminearum","15-ADON",1700
"217",17,2010,"Erechim","RS",-27.91617,-52.23206,"soybean",26,1.1,"Fusarium graminearum","15-ADON",1700
"218",17,2010,"Erechim","RS",-27.91617,-52.23206,"soybean",26,1.1,"Fusarium graminearum","15-ADON",1700
"219",17,2010,"Erechim","RS",-27.91617,-52.23206,"soybean",26,1.1,"Fusarium graminearum","15-ADON",1700
"220",34,2009,"Ernestina","RS",-28.381,-53.306,"soybean",27.22,2.65,"Fusarium meridionale","NIV",3400
"221",35,2009,"Ernestina","RS",-28.39,-53.982,"soybean",19.74,2.64,"Fusarium graminearum","15-ADON",3500
"222",35,2009,"Ernestina","RS",-28.39,-53.982,"soybean",19.74,2.64,"Fusarium graminearum","15-ADON",3500
"223",36,2009,"Ernestina","RS",-28.39,-53.982,"soybean",23.5,6.34,"Fusarium graminearum","15-ADON",3600
"224",36,2009,"Ernestina","RS",-28.293,-51.409,"soybean",23.5,6.34,"Fusarium graminearum","15-ADON",3600
