"campo","ano","local","estado","lat","long","residuo","inc","sev","especie","index"
18,2010,"Coxilha","RS",-28.1379,-52.2168,"soybean",65.5,3.95,"Fgra",180
18,2010,"Coxilha","RS",-28.1379,-52.2168,"soybean",65.5,3.95,"Fgra",181
18,2010,"Coxilha","RS",-28.1379,-52.2168,"soybean",65.5,3.95,"Fgra",182
19,2010,"Coxilha","RS",-27.7834,-52.2654,"soybean",65,6.22,"Fgra",183
19,2010,"Coxilha","RS",-27.7834,-52.2654,"soybean",65,6.22,"Fgra",184
19,2010,"Coxilha","RS",-27.7834,-52.2654,"soybean",65,6.22,"Fgra",185
37,2009,"Coxilha","RS",-28.267,-52.206,NA,0,0,"Fgra",186
37,2009,"Coxilha","RS",-28.267,-52.206,NA,0,0,"Fgra",187
37,2009,"Coxilha","RS",-28.267,-52.206,NA,0,0,"Fgra",188
38,2009,"Coxilha","RS",-28.306,-52.135,"corn",5,0.31,"Fgra",189
38,2009,"Coxilha","RS",-28.306,-52.135,"corn",5,0.31,"Fgra",190
38,2009,"Coxilha","RS",-28.306,-52.135,"corn",5,0.31,"Fgra",191
39,2009,"Coxilha","RS",-28.446,-53.531,"soybean",6,0.33,"Fgra",192
39,2009,"Coxilha","RS",-28.446,-53.531,"soybean",6,0.33,"Fgra",193
39,2009,"Coxilha","RS",-28.446,-53.531,"soybean",6,0.33,"Fgra",194
39,2009,"Coxilha","RS",-28.825,-53.613,"soybean",6,0.33,"Fmer",195
7,2009,"Cruz Alta","RS",-28.171,-53.472,"soybean",31.5,2.53,"Fgra",196
7,2009,"Cruz Alta","RS",-28.119,-53.433,"soybean",31.5,2.53,"Fgra",197
7,2009,"Cruz Alta","RS",-28.119,-53.433,"soybean",31.5,2.53,"Fgra",198
8,2009,"Cruz Alta","RS",-28.119,-53.433,"soybean",50.5,4.83,"Fgra",199
9,2009,"Cruz Alta","RS",-28.119,-53.433,"soybean",56,3.22,"Fgra",200
9,2009,"Cruz Alta","RS",-28.027,-53.357,"soybean",56,3.22,"Fgra",201
9,2009,"Cruz Alta","RS",-28.027,-53.357,"soybean",56,3.22,"Fgra",202
9,2009,"Cruz Alta","RS",-28.027,-53.357,"soybean",56,3.22,"Fgra",203
10,2009,"Cruz Alta","RS",-28.344,-51.147,"soybean",43,3.2,"Fgra",204
10,2009,"Cruz Alta","RS",-28.344,-51.147,"soybean",43,3.2,"Fgra",205
10,2009,"Cruz Alta","RS",-28.344,-51.147,"soybean",43,3.2,"Fgra",206
49,2009,"Entre-Ijuis","RS",-28.344,-51.147,"corn",26.5,1.46,"Fgra",207
49,2009,"Entre-Ijuis","RS",-28.358,-54.21,"corn",26.5,1.46,"Fgra",208
49,2009,"Entre-Ijuis","RS",-28.358,-54.21,"corn",26.5,1.46,"Fgra",209
49,2009,"Entre-Ijuis","RS",-28.39,-53.982,"corn",26.5,1.46,"Fgra",210
16,2010,"Erechim","RS",-27.7834,-52.2654,"soybean",39,4.23,"Fgra",211
16,2010,"Erechim","RS",-27.7007,-52.2854,"soybean",39,4.23,"Fgra",212
16,2010,"Erechim","RS",-27.7007,-52.2854,"soybean",39,4.23,"Fgra",213
16,2010,"Erechim","RS",-27.7007,-52.2854,"soybean",39,4.23,"Fgra",214
17,2010,"Erechim","RS",-28.1426,-51.6983,"soybean",26,1.1,"Fcor",215
17,2010,"Erechim","RS",-27.7007,-52.2854,"soybean",26,1.1,"Fgra",216
17,2010,"Erechim","RS",-27.9162,-52.2321,"soybean",26,1.1,"Fgra",217
17,2010,"Erechim","RS",-27.9162,-52.2321,"soybean",26,1.1,"Fgra",218
17,2010,"Erechim","RS",-27.9162,-52.2321,"soybean",26,1.1,"Fgra",219
34,2009,"Ernestina","RS",-28.381,-53.306,"soybean",27.22,2.65,"Fmer",220
35,2009,"Ernestina","RS",-28.39,-53.982,"soybean",19.74,2.64,"Fgra",221
35,2009,"Ernestina","RS",-28.39,-53.982,"soybean",19.74,2.64,"Fgra",222
36,2009,"Ernestina","RS",-28.39,-53.982,"soybean",23.5,6.34,"Fgra",223
36,2009,"Ernestina","RS",-28.293,-51.409,"soybean",23.5,6.34,"Fgra",224
36,2009,"Ernestina","RS",-28.293,-51.409,"soybean",23.5,6.34,"Fgra",225
36,2009,"Ernestina","RS",-28.327,-51.271,"soybean",23.5,6.34,"Fgra",226
15,2010,"Estacao","RS",-27.9162,-52.2321,"soybean",42,1.63,"Fgra",227
15,2010,"Estacao","RS",-27.9162,-52.2321,"soybean",42,1.63,"Fgra",228
15,2010,"Estacao","RS",-28.1426,-51.6983,"soybean",42,1.63,"Fgra",229
15,2010,"Estacao","RS",-28.1426,-51.6983,"soybean",42,1.63,"Fgra",230
15,2010,"Estacao","RS",-28.1786,-51.6491,"soybean",42,1.63,"Fmer",231
NA,2009,"Farol","PR",-24.0997,-52.6233,NA,NA,NA,"Fgra",232
NA,2009,"Farol","PR",-24.0997,-52.6233,NA,NA,NA,"Fmer",233
NA,2009,"Formosa do Oeste","PR",-24.2928,-53.3125,NA,NA,NA,"Fgra",234
NA,2009,"Formosa do Oeste","PR",-24.2928,-53.3125,NA,NA,NA,"Fgra",235
NA,2009,"Formosa do Oeste","PR",-24.2928,-53.3125,NA,NA,NA,"Fgra",236
NA,2009,"Formosa do Oeste","PR",-24.2928,-53.3125,NA,NA,NA,"Fmer",237
34,2010,"Ibiaca","RS",-28.3123,-51.3606,"corn",6,0.47,"Fcor",238
34,2010,"Ibiaca","RS",-28.1786,-51.6491,"corn",6,0.47,"Fgra",239
34,2010,"Ibiaca","RS",-28.1786,-51.6491,"corn",6,0.47,"Fgra",240
34,2010,"Ibiaca","RS",-28.3123,-51.3606,"corn",6,0.47,"Fmer",241
34,2010,"Ibiaca","RS",-28.2704,-51.9227,"corn",6,0.47,"Fmer",242
1,2011,"Ijui","RS",-28.3646,-53.7911,"soybean",37,1.16,"Fgra",243
1,2011,"Ijui","RS",-28.3799,-52.7892,"soybean",37,1.16,"Fmer",244
1,2011,"Ijui","RS",-28.068,-53.3935,"soybean",37,1.16,"Fmer",245
2,2011,"Ijui","RS",-28.4605,-53.8644,"soybean",2.5,0.07,"Fgra",246
2,2011,"Ijui","RS",-28.3831,-54.0385,"soybean",2.5,0.07,"Fgra",247
2,2011,"Ijui","RS",-28.3831,-54.0385,"soybean",2.5,0.07,"Fgra",248
2,2011,"Ijui","RS",-28.0705,-51.9164,"soybean",2.5,0.07,"Fgra",249
4,2011,"Ijui","RS",-28.4232,-53.9112,"soybean",7,0.16,"Fgra",250
4,2011,"Ijui","RS",-28.4232,-53.9112,"soybean",7,0.16,"Fgra",251
4,2011,"Ijui","RS",-28.4232,-53.9112,"soybean",7,0.16,"Fgra",252
4,2011,"Ijui","RS",-28.3733,-53.8399,"soybean",7,0.16,"Fgra",253
5,2011,"Ijui","RS",-28.4605,-53.8644,"soybean",14,0.35,"Fgra",254
5,2011,"Ijui","RS",-28.4605,-53.8644,"soybean",14,0.35,"Fgra",255
5,2011,"Ijui","RS",-28.0705,-51.9164,"soybean",14,0.35,"Fgra",256
6,2011,"Ijui","RS",-28.3733,-53.8399,"soybean",8,0.35,"Fgra",257
6,2011,"Ijui","RS",-28.0705,-51.9164,"soybean",8,0.35,"Fgra",258
7,2011,"Ijui","RS",-28.3733,-53.8399,"soybean",2,0.03,"Fgra",259
7,2011,"Ijui","RS",-28.3831,-54.0385,"soybean",2,0.03,"Fgra",260
7,2011,"Ijui","RS",-28.3646,-53.7911,"soybean",2,0.03,"Fgra",261
7,2011,"Ijui","RS",-28.2869,-52.7071,"soybean",2,0.03,"Fmer",262
8,2011,"Ijui","RS",-28.4028,-53.9524,"soybean",8.5,1.29,"Fasi",263
8,2011,"Ijui","RS",-28.3733,-53.8399,"soybean",8.5,1.29,"Fasi",264
8,2011,"Ijui","RS",-28.3646,-53.7911,"soybean",8.5,1.29,"Fgra",265
8,2011,"Ijui","RS",-28.3831,-54.0385,"soybean",8.5,1.29,"Fgra",266
8,2011,"Ijui","RS",-28.5219,-53.7931,"soybean",8.5,1.29,"Fgra",267
47,2009,"Ijui","RS",-28.327,-51.271,"corn",21.5,0.93,"Fgra",268
47,2009,"Ijui","RS",-28.587,-52.627,"corn",21.5,0.93,"Fgra",269
48,2009,"Ijui","RS",-28.587,-52.627,"soybean",5,0.55,"Fgra",270
48,2009,"Ijui","RS",-28.491,-52.561,"soybean",5,0.55,"Fgra",271
NA,2009,"Janiopolis","PR",-24.1419,-52.7817,NA,NA,NA,"Fgra",272
NA,2009,"Janiopolis","PR",-24.1419,-52.7817,NA,NA,NA,"Fgra",273
NA,2009,"Janiopolis","PR",-24.1419,-52.7817,NA,NA,NA,"Fgra",274
NA,2009,"Jataizinho","PR",-23.2542,-50.98,NA,NA,NA,"Fgra",275
NA,2009,"Jataizinho","PR",-23.2542,-50.98,NA,NA,NA,"Fgra",276
NA,2009,"Jataizinho","PR",-23.2542,-50.98,NA,NA,NA,"Fgra",277
NA,2009,"Jataizinho","PR",-23.2542,-50.98,NA,NA,NA,"Fgra",278
NA,2009,"Jataizinho","PR",-23.2542,-50.98,NA,NA,NA,"Fgra",279
NA,2009,"Jesuitas","PR",-24.385,-53.3875,NA,NA,NA,"Fgra",280
NA,2009,"Jesuitas","PR",-24.385,-53.3875,NA,NA,NA,"Fgra",281
NA,2009,"Jesuitas","PR",-24.385,-53.3875,NA,NA,NA,"Fgra",282
NA,2009,"Jesuitas","PR",-24.385,-53.3875,NA,NA,NA,"Fgra",283
NA,2009,"Jesuitas","PR",-24.385,-53.3875,NA,NA,NA,"Fgra",284
NA,2009,"Juranda","PR",-24.4203,-52.8431,NA,NA,NA,"Fgra",285
NA,2009,"Juranda","PR",-24.4203,-52.8431,NA,NA,NA,"Fgra",286
NA,2009,"Juranda","PR",-24.4203,-52.8431,NA,NA,NA,"Fmer",287
NA,2009,"Juranda","PR",-24.4203,-52.8431,NA,NA,NA,"Fmer",288
NA,2009,"Juranda","PR",-24.4203,-52.8431,NA,NA,NA,"Fmer",289
23,2009,"Lageado do Bugre","RS",-28.491,-52.561,"soybean",25.5,2.22,"Fgra",290
23,2009,"Lageado do Bugre","RS",-28.137,-52.207,"soybean",25.5,2.22,"Fgra",291
24,2009,"Lageado do Bugre","RS",-28.137,-52.207,"soybean",71,5.22,"Fgra",292
24,2009,"Lageado do Bugre","RS",-28.137,-52.207,"soybean",71,5.22,"Fgra",293
33,2010,"Lagoa Vermelha","RS",-28.1786,-51.6491,"corn",41.5,1.08,"Fgra",294
